File.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
d1-18-1-330	9	27	1078	82929.94042	2276	3277	1.439807	1951885	5468214	0.356951	1591277	56.068003	32	571.992981	70597.86597	614895731.2	15050843.01	368	759.057065	0.852	46.620822	0.285263	0.367079	0.347658	266.279221	2262.459162	80401.20204	529.730014	8798.102503	4780489.883	1664.195921	27668.15345	15021510.66	832.09796	27629.21714	614867269.8
d1-19-1-341	5	22	842	44264.65112	2246	3114	1.386465	819932	4774491.5	0.171732	695525	37.223704	24	358.217804	45878.17717	128542707	5231272.872	170	1137.952941	0.706	43.788568	0.299711	0.428327	0.271962	295.592929	1800.907863	42168.15033	576.700577	6956.221359	1657552.296	1811.758296	21853.61392	5207607.5	905.879148	21660.77105	128520140.4
d1-19-1-344	6	15	858	49715.63893	2885	1810	0.627383	946682	3372053.5	0.280743	857615	40.715314	23.323807	477.895386	48225.10661	213603705.6	6516416.806	230	941.947826	0.631	46.559024	0.312404	0.303986	0.383611	341.220346	2071.476406	47302.94218	679.612265	7939.552918	2065420.254	2135.064899	24942.84112	6489338.9	1067.53245	24596.60392	213578041.4
d1-19-1-348	7	18	631	58584.02427	2302	2157	0.937011	1737884	3249618	0.534796	1440791	88.003953	41.761227	722.941223	43911.18742	1085322968	16817375.95	206	1310.18932	0.626	44.979838	0.308485	0.357798	0.333717	142.610173	1056.033621	57385.38048	285.220346	4087.549473	5348667.313	896.046144	12855.46503	16803624.44	448.023072	12791.01681	1085309729
d1-19-1-350	6	29	1193	100229.1443	2854	3781	1.324807	2765340	7889484	0.35051	2272206	79.553959	34.525352	773.118347	81008.59951	1724349281	26321114.66	361	1070.509695	1.133	46.612005	0.283237	0.380633	0.33613	333.605122	2350.441918	97545.09726	661.553391	9079.890424	8368325.155	2078.331272	28525.31705	26290511.01	1039.165636	28293.13946	1724319948
d2-12-1-166	6	23	789	47337.83489	2224	2110	0.948741	902511	3009486.5	0.299889	830440	38.776074	25.059929	442.831787	47839.38496	168393344	5921623.464	201	1092	0.503	47.080217	0.280944	0.36388	0.355176	359.07821	2164.760677	44813.996	718.156421	8424.19281	1875721.523	2256.154936	26465.38225	5892901.927	1128.077468	26387.63408	168365828.2
d2-12-1-176	7	20	715	38504.33965	1586	3366	2.12232	682658	3369580.5	0.202594	682658	35.849262	22.803509	336.933228	40964.3644	99610450.04	4363405.401	132	1963.613636	0.533	43.286066	0.316241	0.410745	0.273014	259.563492	1591.084487	36653.69168	519.126984	6119.926803	1382185.655	1630.885518	19226.31708	4342548.199	815.442759	19002.0074	99590632.59
d2-12-1-178	6	20	742	48938.80408	2119	3168	1.495045	1212600	3870555.5	0.313288	1212600	59.551085	36.878178	570.126282	43361.12681	382206949.1	9356280.777	140	1558.478571	0.681	44.174195	0.291928	0.412073	0.295999	148.124892	1581.741341	47208.93784	293.421356	6172.076364	2971709.729	921.810377	19404.19939	9335954.767	460.905189	19427.36956	382187060.9
d2-12-1-200	9	25	1744	126369.6347	3648	3414	0.935855	2802761	7989875	0.350789	2538673	50.016169	32	406.004913	105581.8518	574358093.5	20328616.29	541	2586.866913	1.238	45.922969	0.320446	0.316182	0.363371	599.570635	3906.087804	121863.9763	1193.484415	15050.23217	6454401.176	3749.44187	47281.69883	20277585.15	1874.720935	46819.26697	574309399.6
d2-13-1-211	9	25	789	66357.4237	2029	2713	1.337112	1509342	4020882.5	0.375376	1509342	47.473947	30.463093	437.126984	61772.2338	296537242	10161319.19	305	1006.790164	0.669	47.225718	0.313623	0.302104	0.384272	168.267027	1348.999133	64840.15753	334.534055	5178.92296	3228701.568	1050.969728	16270.06633	10143998.15	525.484864	16068.21182	296520648.3
d2-13-1-214	6	19	857	79110.6941	2774	2722	0.981255	2005751	4384244	0.457491	1004740	61.018611	38.418747	336.214203	56193.15855	471921186.2	15454729.33	347	608.423631	0.87	43.772201	0.329109	0.362568	0.308323	210.681241	1518.449927	77381.56293	421.362482	5856.201152	4912943.838	1323.749277	18397.79852	15435007.78	661.874639	18222.31782	471902302
d2-13-1-216	8	20	709	39636.82198	1701	2322	1.365079	686808	2359872	0.291036	686808	35.212885	23.323807	364.993164	38604.89478	88770221.44	4423036.791	174	1452.465517	0.471	45.773289	0.278924	0.411709	0.309367	213.308658	1642.155554	37781.35777	426.617316	6363.594098	1400812.001	1340.257825	19991.82047	4401704.713	670.128912	19898.38519	88749652.92
d2-13-1-218	5	14	624	30480.93288	2416	1468	0.607616	520150	2276678.5	0.228469	498078	32.681074	22.36068	286.027985	32669.63973	59836387.34	3192361.038	105	3771.457143	0.45	48.100616	0.277126	0.317748	0.405126	195.752309	1523.0601	28762.12047	388.67619	5865.734157	1009732.273	1221.062264	18427.74734	3172712.229	610.531132	18256.4737	59817520.34
d2-13-1-219	6	33	1519	77151.27101	2797	4571	1.634251	1355976	7128666.5	0.190215	1267408	38.596474	22.803509	453.100433	76962.42534	282121130.4	9456652.145	327	1057.122324	1.089	42.132844	0.34478	0.39885	0.25637	492.658946	2990.52222	73668.08985	980.489465	11608.29214	2997181.074	3080.298502	36468.52532	9417103.321	1540.149251	36304.70921	282083285.5
d2-18-1-325	8	21	792	43526.32905	1647	3190	1.936855	737114	2111275	0.349132	737114	34.23204	25.455845	346.485199	42398.85978	88164683.03	4752394.682	180	1327.811111	0.549	43.540244	0.318453	0.408047	0.2735	221.23759	1735.439826	41569.65163	439.646753	6737.06884	1505543.023	1381.191009	21179.1756	4729834.316	690.595505	21123.18225	88142869.25
d2-18-1-335	5	20	714	44851.15747	1619	3607	2.227918	810614	3430968	0.236264	804159	39.248226	25.455845	352.567719	45938.54398	139222426.2	5695611.125	162	877.901235	0.568	38.731332	0.411777	0.375132	0.213091	292.693434	2087.961687	42470.50235	585.386868	8161.948102	1803873.144	1839.047085	25655.56582	5668116.512	919.523543	25675.2707	139195831.4
d2-18-1-337	7	17	424	23686.25633	1098	2454	2.234973	455207	1719862	0.264676	455207	35.266504	25.455845	319.756165	27288.5502	54167440.65	2641565.146	62	2518.048387	0.387	41.833498	0.338183	0.440406	0.221411	118.63961	823.991991	22743.62473	237.279221	3206.059306	837347.3561	745.434656	10072.13236	2630747.579	372.717328	10032.26776	54157035.67
d2-18-1-338	2	24	966	56217.02983	3648	3653	1.001371	1032038	7976086.5	0.129392	984556	33.36696	24.166092	361.092773	63947.0154	120621901.3	6005939.104	161	4589.285714	1.089	44.216513	0.343473	0.338004	0.318523	265.906638	2286.843938	53664.27926	531.813275	8832.392286	1902149.866	1670.740679	27761.82835	5976506.535	835.370339	27530.52644	120593535.4
d2-18-1-340	7	17	592	42568.0486	1525	3107	2.037377	813188	2268633.5	0.358448	813188	39.587387	29.732138	350.022858	38723.82667	108163517.3	5309900.912	206	739.135922	0.573	41.709147	0.35199	0.378618	0.269392	204.308658	1081.330086	41282.40986	408.617316	4153.372784	1685399.754	1283.709157	13048.20543	5295568.997	641.854579	12859.91513	108150015.5
d2-19-1-351	6	19	504	39990.92963	1660	2421	1.458434	986856	2607810.5	0.378423	950263	57.975633	33.105892	421.587463	33370.9963	266821609.2	7499131.318	157	864.159236	0.487	44.864982	0.305372	0.385074	0.309555	126.124892	1016.016377	38848.78836	252.249783	3935.881163	2382787.353	792.466066	12364.93535	7485973.917	396.233033	12290.30133	266808922.6
d2-19-1-354	7	21	1014	59660.01259	2641	2016	0.763347	1238970	3697868	0.33505	1159913	40.87925	25.298222	442.764038	62545.4566	222149330	7812673.007	208	2413.466346	0.618	47.351408	0.307734	0.286572	0.405694	392.404112	2497.21147	56770.39701	775.15137	9677.568293	2476374.927	2435.20985	30402.97746	7779834.82	1217.604925	30185.92523	222117926.5
d2-19-1-355	7	22	880	56429.70133	2251	2948	1.30964	1281566	4326270	0.296229	1146701	61.411339	32	551.013611	49308.12544	510677857.8	11038645.89	187	4187.930481	0.703	44.627359	0.303445	0.384823	0.311732	200.722871	1655.415439	54573.56302	393.788889	6413.052262	3506288.544	1237.12428	20147.19788	11017261.56	618.56214	20011.0677	510657228.1
d2-19-1-357	5	15	796	42254.75372	2570	4071	1.584047	826126	5813085.5	0.142115	826126	40.361686	25.059929	437.323669	45189.94759	158987398.3	5499998.99	95	2010.515789	0.831	45.428897	0.265024	0.454078	0.280899	226.994949	1740.084487	40287.67428	453.989899	6814.598277	1743416.143	1426.251331	21417.57765	5477155.161	713.125665	21474.60996	158965210.6
d2-19-1-360	7	18	453	36484.80856	1642	2961	1.803289	860818	2787188	0.308848	810741	56.398962	32.984844	407.141266	33253.738	243556814.3	6610460.78	132	1027.371212	0.52	45.119145	0.278846	0.432788	0.288366	98.568542	868.021428	35518.21859	197.137085	3389.425458	2100396.142	619.324418	10648.19412	6599193.262	309.662209	10645.82558	243545858.8
